plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,zipCd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm,region
세종청년주간 운영,청년세대의 다양하고 창의적인 문화활동 지원 및 청년문화 콘텐츠 발굴,"○ 법정기념일인 “청년의 날”을 기념 하기 위한 페스티벌 및 다양한 문화 콘텐츠 운영
   - (9.18~9.19.) “요즘야장” 페스티벌 운영
   - (9.20.~9.27.)
     * 청년공방과 함께 하는 필름로맨스: 스틸마스프링, 오운 상영
     * 1인 가구 청년을 위한 요리 프로그램
     * 청년재능활동가와 함께 하는 공방클래스
     * 재테크 특강: 청년의 금융상식 LEVEL UP
     * 정책제안 포럼",20250918 ~ 20250927,36110,https://www.4242.or.kr,0.0,0.0,복지문화,문화활동,세종특별자치시
청년문화생태계 리빙랩,청년 정보확산을 위한 참여형 문화콘텐츠 개발 및 관내 대학 청년들의 문화예술 참여 등 성장의 기회 지원,"○ 재밌을지도
  - 에디터단 운영 : 문화(관광) 콘텐츠 제작(카드뉴스, 동영상 등)
  - 문화콘텐츠 참여자 이벤트 진행: 지역화페 지급(이용후기 작성자)

○ 대학가요제 개최
   - 대상: 관내 대학(원)생 
   - 분야: 밴드
   - 예선: 전문가 평가 및 시민평가 진행 / 음원평가
   - 본선: 무대경합 / 10팀 / 상금지원(200만원)",20250301 ~ 20251231,36110,https://www.4242.or.kr,19.0,39.0,복지문화,문화활동,세종특별자치시
청년 문화예술기획자 양성(시민축제단),축제 기획 및 운영을 확보한 전문 축제 인력 양성,"□ 사업 개요
 ○ (기    간) 2025. 4. ~ 10.
 ○ (자    격) 축제에 열정과 관심을 갖고 성실히 참여가능한 자
 ○ (운영내용) 공통교육, 멘토링, 축제참여, 백서제작참여, 성과공유회 
 ○ (주요활동) 축제 관광 코스 기획, 홍보 콘텐츠 제작, 현장 운영
 ○ (소요예산) 4천만원(전문가 멘토링, 공통교육, 홍보·기획운영비 등)",20250401 ~ 20250531,"11110,11140,11170,11200,11215,11230,11260,11290,11305,11320,11350,11380,11410,11440,11470,11500,11530,11545,11560,11590,11620,11650,11680,11710,11740,26110,26140,26170,26200,26230,26260,26290,26320,26350,26380,26410,26440,26470,26500,26530,26710,27110,27140,27170,27200,27230,27260,27290,27710,27720,28110,28140,28177,28185,28200,28237,28245,28260,28710,28720,29110,29140,29155,29170,29200,30110,30140,30170,30200,30230,31110,31140,31170,31200,31710,36110,41111,41113,41115,41117,41131,41133,41135,41150,41171,41173,41192,41194,41196,41210,41220,41250,41271,41273,41281,41285,41287,41290,41310,41360,41370,41390,41410,41430,41450,41461,41463,41465,41480,41500,41550,41570,41590,41610,41630,41650,41670,41800,41820,41830,43111,43112,43113,43114,43130,43150,43720,43730,43740,43745,43750,43760,43770,43800,44131,44133,44150,44180,44200,44210,44230,44250,44270,44710,44760,44770,44790,44800,44810,44825,46110,46130,46150,46170,46230,46710,46720,46730,46770,46780,46790,46800,46810,46820,46830,46840,46860,46870,46880,46890,46900,46910,47111,47113,47130,47150,47170,47190,47210,47230,47250,47280,47290,47730,47750,47760,47770,47820,47830,47840,47850,47900,47920,47930,47940,48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890,50110,50130,51110,51130,51150,51170,51190,51210,51230,51720,51730,51750,51760,51770,51780,51790,51800,51810,51820,51830,52111,52113,52130,52140,52180,52190,52210,52710,52720,52730,52740,52750,52770,52790,52800",https://sjcf.or.kr,0.0,0.0,복지문화,예술인지원,세종특별자치시
청년 전세보증금 반환보증 보증료 지원사업,"임대차 계약 종료 이후에도 보증금을 돌려받지 못하는 피해가 증가하고, 특히 저소득층의 피해가 심각함에 따라 전세보증금반환보증 가입을 유도하여 전세사기 피해를 예방하기 위해 보증료 지원사업을 추진하고자 함","신청일 기준 보증 효력이 유효한 전세보증금반환보증(HUG HF, SGI)에 가입한 임차보증금 3억원 이하, 연소득 ➊(청년) 5천만원, ➋(청년 외) 6천만원, ➌(신혼부부) 7.5천만원 이하 무주택 임차인에게 지원(청년 기준은 경상북도 청년 기본조례에서 정의하는 청년으로 함)",20250201 ~ 20251231,47150,,0.0,0.0,주거,전월세 및 주거급여 지원,경상북도
청년예술가 육성 지원(신진예술지원),지역 청년예술인·단체의 육성 및 전문예술인으로서의 성장을 지원,"□ 신진예술지원사업(청년예술 분야) 개요
  ○ (사업기간) 2025. 1월 ~ 12월
  ○ (사업내용) 공모를 통한 청년예술인(단체)의 예술활동 지원금 제공 등
   - 지원금 지원 및 맞춤형 교육(저작권, 기획·회계, 홍보역량 등), 재단 채널을 활용한 지역예술인 홍보 등
  ○ (지원분야) 
     - (문학) 작가, 문학단체의 작품집 발간지원
     - (시각예술) 장르별 전시 지원(회화, 조각, 사진, 서예, 공예, 설치, 디자인, 민화 등)
     - (공연예술) ① 음악(독창, 독주, 연주회, 오페라, 관현악, 실내악, 성악 등)
                       ② 무용(한국무용(전통, 창작), 현대무용, 발레 등
                       ③ 연극(창작극, 번역극, 넌버벌, 마임, 뮤지컬, 인형극, 아동극 등)
     - (전통예술) 장르별 예술활동 지원(국악, 시조, 민속, 풍물, 사물놀이 등)
     - (다원예술) 예술장르 간, 예술과 타 분야 간 융복합 예술활동 지원
  ○ (지원금)
     - (청년예술) 개인 700만원(문학 500만원) / 단체 2,000만원
     - (생애최초) 개인 500만원(문학 400만원)",20250213 ~ 20250227,36110,https://www.ncas.or.kr,19.0,39.0,복지문화,예술인지원,세종특별자치시
청춘 건강상담소 사업 운영(모바일헬스케어),건강관리가 필요한 청년에게 정보통신기술(ICT)을 활용한 건강관리 서비스 제공으로 자가 건강관리 능력 향상 및 만성질환이환 예방,"□ 모바일헬스케어 대상자 모집개요
  ○ (모집인원 및 시기) 210명 / 1기 105명(2월 중), 2기 105명(5월 중)
  ○ (모집대상) 건강관리가 필요한 성인 
    - 건강위험요인* 보유자 우선 선정
     * 혈압, 공복혈당, 허리둘레, 중성지방, HDL-콜레스테롤 위험수치 해당
    - 고혈압, 당뇨 이상지질혈증 진단자 및 약물복용자 제외
  ○ (사업내용)
    - ‘채움건강’ 앱 기반 24주간 비대면 건강관리 서비스 제공
    - 총 3회(최초·중간(선택)·최종)의 대상자 검진 실시, 우수참여 인센티브 지급
  ○ (신청방법) 보건소 누리집 신청",20250501 ~ 20250531,36110,https://www.sejong.go.kr/health.do,19.0,64.0,복지문화,건강,세종특별자치시
대학생 아르바이트(하반기),지역 내 방학을 맞이한 대학생들을 대상으로한 아르바이트 기회제공,"ㅇ (목적) 대학생 대상 아르바이트 제공으로 공직사회 경험과 일자리 제공
ㅇ (대상) 의성군에 주소지를 두고 있는 만18세 이상 29세 이하 전문대 이상 대학교 재·휴학생
ㅇ (주요내용) 지역 내 방학을 맞이한 대학생들을 대상으로한 아르바이트 기회제공",20250605 ~ 20250612,47730,,18.0,29.0,일자리,취업,경상북도
미혼남녀 인연만들기,"세종시 미혼남녀에게 이성간 만남의 기회를 제공하여 결혼 친화적인 여건 마련, 지역사회 결속 강화 및 지역상권 활성화 도모","□ 행사개요
  ○ (행사일시) 6회 : ‘25.6.7, 6.21, 8.30, 9.20, 10.18, 10.25 14:00~18:00
  ○ (행사장소) 참가 확정자를 대상으로 개별 안내
  ○ (모집인원) 240명(남녀 각 120명)
  ○ (프로그램) 1:1대화, 그룹대화, 미니데이트, 커플미션, 자유대화 등
  ○ (모집기간) 상반기 행사 : ’25.4.7~4.25
               하반기 행사 : ‘25.7.1~7.25
  ○ (신청자격) 세종시 거주 또는 직장을 둔 25세 이상 미혼남녀(자영업자 포함)
  ○ (참가자 선발) 주민등록초본, 재직증명서, 사업등록증, 혼인관계중명서 등을 확인 후 무작위 추첨
    * 최종 선정자 참가비(식음료비) 2만원 납부",20250701 ~ 20250725,36110,https://www.sejong.go.kr/bbs/R0071/list.do,25.0,100.0,복지문화,취약계층 및 금융지원,세종특별자치시
공공시설 나만의 결혼식,세종시에 거주(또는 재직)하는 예비부부에게 공공시설을 예식장소로 제공함으로써 결혼 비용 증가에 따른 청년층 결혼 부담 경감 도모,"○ (대상) 세종시 거주 또는 직장을 둔 예비부부
○ (내용) 세종시에 거주(또는 재직)하는 예비부부에게 결혼식 컨설팅 및 교육, 공공시설 예식장소 제공, 결혼 공간 조성비(1,500천원) 지원
○ (예식형태) 현대식 ․ 전통 혼례
○ (공공시설 장소) 야외 7곳 : 호수공원, 중앙공원, 초려역사공원, 이응다리, 조치원문화정원, 홍판서댁, 국립세종수목원 / 실내 2곳 : 새롬종합복지센터, 조치원1927아트센터 ",,36110,https://sejong.familynet.or.kr/center/index.do,0.0,0.0,복지문화,취약계층 및 금융지원,세종특별자치시
직장맘지원센터 운영,"세종지역 직장맘의 모성권 및 노동권 관련 전문상담, 사적조정 등 밀착 지원, 경력단절 예방을 위한 다양한 역량강화 프로그램 제공으로 일·가정 양립문화 조성","□ 전문노무상담 및 사건대리, 노동법률 교육, 직장맘(대디) 지원 프로그램 제공
  ○ (노무상담) 연중 상시 / 전문상담 지원, 임신·출산·육아기 법적권리(노동권) 안내, 사용자 면담 등 사적조정으로 분쟁 해결 지원
  ○ (사건대리) 고용노동청, 노동위원회를 통한 구제가 필요한 사건을 대리→ 관내 노무법인에 사건 위탁 
    ※ (지원조건) ① 월300만원 이하 급여자이며, ② 센터 노무상담 이력자
  ○ (노동법률 교육) 노동법률, 노동인권, 모·부성권 보호 및 일·생활 균형제도 교육으로 근로관계에 대응할 수 있는 역량 함양(필요시 찾아가는 교육 실시)
  ○ (직장맘 지원 프로그램) 일·육아의 이중부담을 가지고 있는 직장맘(대디)을 위한 다양한 코칭 및 문화프로그램 운영 ",,36110,https://www.sj-equity.or.kr/,0.0,0.0,복지문화,취약계층 및 금융지원,세종특별자치시
