지역명,보증금(만원),월세금(만원)
충청남도 서천군,442.3076923076923,37.0
경상북도 고령군,440.0,34.2
강원특별자치도 원주시,438.62917631491894,41.901753225272905
전라남도 구례군,436.0,37.2
강원특별자치도 양구군,431.8181818181818,36.36363636363637
충청북도 옥천군,430.0,33.0
경상북도 영양군,428.125,37.78125
충청북도 증평군,422.479674796748,34.6869918699187
강원특별자치도 동해시,422.0962343096234,38.94142259414226
전라남도 화순군,418.1818181818182,35.86363636363637
경상북도 영주시,406.0457516339869,41.3937908496732
경기도 안성시,405.20591456736037,41.85432639649507
강원특별자치도 강릉시,402.99236641221376,43.451908396946564
경상북도 경주시,401.75625,39.5525
강원특별자치도 춘천시,397.3289346636627,40.84293530737045
경상북도 상주시,395.0220994475138,34.966850828729285
경상북도 예천군,391.9047619047619,39.19047619047619
전라남도 고흥군,386.95652173913044,37.56521739130435
전라남도 나주시,377.14166666666665,35.833333333333336
경상북도 경산시,359.382560483871,32.64163306451613
세종특별자치시 ,357.0119658119658,39.00683760683761
전북특별자치도 김제시,352.6666666666667,35.607142857142854
전라남도 목포시,351.5,37.18709677419355
충청남도 청양군,342.10526315789474,35.36842105263158
전북특별자치도 군산시,341.3756345177665,35.018612521150594
충청남도 공주시,337.527397260274,36.92465753424658
제주특별자치도 제주시,326.6527153234175,55.00276720857835
전라남도 장흥군,321.4736842105263,38.66315789473684
전북특별자치도 익산시,312.0953038674033,37.58977900552486
전라남도 순천시,309.16617210682494,39.94807121661721
제주특별자치도 서귀포시,295.571002979146,49.56504468718967
강원특별자치도 태백시,277.3076923076923,38.38461538461539
경상남도 거제시,267.1279264214047,36.14966555183946
강원특별자치도 삼척시,261.41509433962267,41.216981132075475
전라남도 광양시,250.83798882681563,37.24022346368715
강원특별자치도 철원군,250.0,30.8
전라남도 여수시,244.03191489361703,42.351063829787236
전라남도 영암군,144.44444444444446,28.0
전라남도 신안군,125.0,20.0
