지역명,평균접근성
경상북도 울릉군,0.005593545567022531
경상북도 울진군,0.0014785594557862442
경상북도 의성군,0.0019047390103451808
경상북도 청도군,0.001596872460630171
경상북도 청송군,0.0013684256248392946
경상북도 칠곡군,0.0018346179144513673
경상북도 포항시,0.0016089001160502169
세종특별자치시,0.002741626702541786
전라남도 강진군,0.00381612256208377
전라남도 고흥군,0.002764543529215452
전라남도 곡성군,0.002643901361240547
전라남도 광양시,0.0024183032161939903
전라남도 구례군,0.0023594603921495076
전라남도 나주시,0.0025545003984344455
전라남도 담양군,0.002224963280451623
전라남도 목포시,0.004874268016273922
전라남도 무안군,0.002743951524836334
전라남도 보성군,0.001973342772436498
전라남도 순천시,0.0023276346273461293
전라남도 신안군,0.003552385195802657
전라남도 여수시,0.003333822473060259
전라남도 영광군,0.0031653719677482246
전라남도 영암군,0.002333175907956929
전라남도 완도군,0.0027485345257029347
전라남도 장성군,0.0022662422659089076
전라남도 장흥군,0.002681606531409413
전라남도 진도군,0.002600645052086804
전라남도 함평군,0.0023266810702507927
전라남도 해남군,0.002313971572183873
전라남도 화순군,0.0029938639674479467
전라북도 고창군,0.0025280420358382307
전라북도 군산시,0.0029099116394264743
전라북도 김제시,0.0025505296309868497
전라북도 남원시,0.0027255815223978775
전라북도 무주군,0.001604524871452315
전라북도 부안군,0.0019467998093199747
전라북도 순창군,0.0017361839388180646
전라북도 완주군,0.0013741766733618255
전라북도 익산시,0.003052799581113246
전라북도 임실군,0.001709064632145597
전라북도 장수군,0.0020361565566845196
전라북도 전주시,0.005402946853233233
전라북도 정읍시,0.002592535335260477
전라북도 진안군,0.002119053037983439
제주특별자치도 서귀포시,0.0016081944071036352
제주특별자치도 제주시,0.002047837553637735
충청남도 계룡시,0.0012601547580176826
충청남도 공주시,0.0017091648526200607
충청남도 금산군,0.0019399767470832914
충청남도 논산시,0.0024493724239360555
충청남도 당진시,0.001805466790720504
충청남도 보령시,0.0018355983513523204
충청남도 부여군,0.0015423120674580733
충청남도 서산시,0.0017970993120461493
충청남도 서천군,0.002117652059688647
충청남도 아산시,0.002018069261200166
충청남도 예산군,0.001995122081466297
충청남도 천안시,0.002209913234695933
충청남도 청양군,0.002051892579686321
충청남도 태안군,0.0010672239468395588
충청남도 홍성군,0.002159753475907986
충청북도 괴산군,0.001765896309978122
충청북도 단양군,0.0013627304938062413
충청북도 보은군,0.001418535631642574
충청북도 영동군,0.001981969142535822
충청북도 옥천군,0.0009988234978033914
충청북도 음성군,0.001814901206691891
충청북도 제천시,0.0017006540207249604
충청북도 증평군,0.0011158595429908006
충청북도 진천군,0.0019829164209513657
충청북도 청주시,0.002194353625195569
충청북도 충주시,0.001959972015448816
